Page 1 Header,Name,Match Number,Assignment,Robot?,Team (getting scouted),Page 2 Header,AMP Score (Auto),SPEAKER Score (Auto),Crossed Line?,Game Pieces Taken?,Page 3 Header,Used Coopertition Button,AMP Score (Teleop),SPEAKER Score (Teleop),Page 4 Header,TRAP Score,Climb Type,Issues,Intook From (Full Match),Notes
,Taj,1,Red 3,3102,,,0,1,FALSE,,,TRUE,1,2,,0,Solo Climb,,Source,
,Aiden,1,Blue 1,5437,,,,,FALSE,,,FALSE,0,0,,0,,Tipped/Tippy,,Very defensive
,zofia,1,Red 2,5454,,,0,1,TRUE,Center Spike,,TRUE,0,4,,0,,,Ground,"good driver, fast swerve"
,Alex,1,Blue 3,8044,,,0,0,FALSE,,,FALSE,2,5,,0,Solo Climb,Failed Auto,"Ground , Source","no auto, had problems w shooter power at first but they were resolved"
,Luke Thompson,1,Red 3,3102,,,0,1,FALSE,,,TRUE,2,1,,0,Solo Climb,,Source,"Don’t know if they’re fully off the ground for climb, note got stuck in the frame"
,Jalen,1,Blue 2,6586,,,0,1,TRUE,Left Spike,,FALSE,0,0,,0,2 Robot Climb,Disabled,Ground,This robot did not cook. It just burn
,Leif,1,Blue 3,8044,,,0,0,FALSE,,,FALSE,2,5,,0,Solo Climb,Failed Auto,"Ground , Source","No auto, the shooter had problems with aim and power in the beginning, along with taking multiple attempts to score in the amp."
,Jazlyn,1,Red 2,5454,,,0,1,TRUE,"Right Spike , Left Spike",,FALSE,0,6,,0,,,Ground,
,Owen Reynolds,1,Red 1,3616,,,0,2,TRUE,Right Spike,,FALSE,0,1,,0,2 Robot Climb,,"Ground , Source","Note immediately got stuck in the robot, so they mostly stuck to playing a fairly decent defense game"
,Owen Reynolds,1,Red 1,3616,,,0,2,TRUE,Right Spike,,FALSE,0,1,,0,2 Robot Climb,,"Ground , Source","Note immediately got stuck in the robot, so they mostly stuck to playing a fairly decent defense game"
,Garys,1,Blue 1,5437,,,0,0,FALSE,,,,0,0,,0,,Tipped/Tippy,,Wobbles alot with speed; picked up no notes; used as defense. No movement in auto.
,Ajmed,1,Blue 2,6586,,,0,0,,,,,0,0,,0,,,,
,Aiden,2,Blue 1,2190,,,,,FALSE,,,FALSE,,,,0,,Tipped/Tippy,,"Defensive, did pretty much nothing"
,Luke Thompson,2,Red 3,16,,,0,4,TRUE,,,TRUE,5,3,,0,,,Ground,
,Taj,2,Red 3,16,,,0,4,TRUE,,,FALSE,5,3,,0,,,Ground,
,alex,2,Blue 3,2992,,,0,1,FALSE,,,FALSE,4,2,,0,,,,intake method was prone to intakinf multiple notes but they seemed to be good at getting rid of them
,zofua,2,Red 2,5002,,,0,0,FALSE,,,FALSE,0,0,,0,,,,"couldn’t do anything this round, looks like they have a shooter so idk what the issue is"
,Jazlyn,2,Red 2,5002,,,0,0,FALSE,,,FALSE,0,0,,0,,,,did not grab notes or scored and played a little bit of defense
,Coby,2,Blue 2,9429,,,0,1,FALSE,,,FALSE,0,0,,0,,,,
,Jalen,2,Blue 2,9429,,,0,1,FALSE,,,FALSE,0,0,,0,,,,It was running around like a headless chicken. Useless
,Dillon,2,Red 1,6186,,,0,0,TRUE,,,FALSE,0,0,,0,,Disabled,Source,Was off for half the match. Nothing tried to score and got not close
,Owen,2,Red 1,6186,,,0,0,FALSE,Failed Left Spike,,FALSE,1,1,,0,,"Disabled , Failed Auto , Made Alliance Fail Climb",Source,Disabled for a good portion of the match not the entire time
,Garys,2,Blue 1,2190,,,0,0,FALSE,,,FALSE,0,0,,0,,,,Ran into chain during auto; collected no notes: used as defense; tall and bulky.
,Leif,2,Blue 3,2992,,,0,1,FALSE,,,FALSE,4,2,,0,,Failed Auto,"Ground , Source","Robot had an auto that did nothing. The robot also had trouble scoring on amp and speaker about 2 or 3 times. Movement speed with the robot was also relatively slow, which prevented it from having enough time to climb or score again."
,Jonathan,3,Red 1,4107,,,0,0,FALSE,,,FALSE,0,5,,0,,,Source,
,Taj,3,Red 3,7483,,,0,0,FALSE,,,FALSE,3,0,,0,,,Ground,Don’t think it can climb
,Luke Thompson,3,Red 3,7483,,,0,0,FALSE,,,FALSE,2,0,,0,,Failed Auto,,Slowest arm ever
,zofia,3,Red 2,9608,,,0,1,FALSE,,,FALSE,0,0,,0,,Disabled,Source,"source only robot, not stuck or shooter failed no use during game"
